name,adresse,telefon,website,hat_website,score,probleme,empfehlung
Wilma Wunder Mainz am Markt,"Markt 11, 55116 Mainz, Deutschland",06131 5401555,https://www.wilma-wunder.de/restaurants/mainz-am-markt/,True,92,IE-Kompatibilität,OK
Heiliggeist,"Rentengasse 2, 55116 Mainz, Deutschland",06131 4932170,https://www.heiliggeist.de/,True,92,IE-Kompatibilität,OK
Kamin - Flammkuchen Restaurant,"Kapuzinerstraße 8, 55116 Mainz, Deutschland",06131 6277887,https://www.kamin-mainz.de/,True,92,IE-Kompatibilität,OK
Patagonia Mainz,"Kaiser-Wilhelm-Ring 74, 55118 Mainz, Deutschland",06131 2106660,http://www.patagonia-mainz.de/,True,92,IE-Kompatibilität,OK
Bellpepper Restaurant & Terrasse,"Templerstraße 6, 55116 Mainz, Deutschland",06131 7311537,https://www.bellpepper.de/?utm_source=googlebusinessprofile&utm_medium=organic&utm_campaign=website,True,65,Tabellen-Layout; IE-Kompatibilität; keine Media Queries,Modernisierung empfohlen
Brunfels Restaurant,"Münsterstraße 11, 55116 Mainz-Altstadt, Deutschland",06131 3041000,https://www.brunfelsrestaurant.com/,True,100,keine,OK
Gudn. Restaurant & Weingarten,"Breite Str. 65, 55124 Mainz, Deutschland",06131 6968543,http://www.gudn-food.de/,True,75,HTML4/XHTML; feste Pixel-Breite,OK
Oma Else,"Jakobsbergstraße 12, 55116 Mainz, Deutschland",06131 5530476,http://oma-else.de/,True,90,feste Pixel-Breite,OK
El Burro,"Dominikanerstraße 2, 55116 Mainz, Deutschland",06131 2144795,http://www.el-burro.de/,True,70,feste Pixel-Breite; IE-Kompatibilität; keine Media Queries,Modernisierung empfohlen
Goldener Hirsch,"Nackstraße 16, 55118 Mainz, Deutschland",06131 2108020,https://www.goldener-hirsch-mainz.de/,True,88,keine Media Queries,OK
Bootshaus Mainz,"Victor-Hugo-Ufer 1, 55116 Mainz, Deutschland",06131 1438700,http://www.bootshausmainz.de/,True,90,feste Pixel-Breite,OK
Via Monte Mainz,"Rheinstraße 47-49, 55116 Mainz, Deutschland",06131 8942612,https://via-monte.eatbu.com/?lang=de,True,82,feste Pixel-Breite; IE-Kompatibilität,OK
Restaurant JONAS,"Ballpl. 2, 55116 Mainz-Altstadt, Deutschland",06131 2148018,https://restaurant-jonas.de/,True,0,nicht erreichbar,Dringend neu (HTTP Error 403: Forbidden)
WILLICHS,"Gartenfeldstraße 9, 55118 Mainz, Deutschland",06131 3397133,https://willichs-mainz.de/,True,100,keine,OK
Adam & Eden,"Bahnhofpl. 8, 55116 Mainz, Deutschland",06131 2679193,https://www.adamundeden.com/,True,88,keine Media Queries,OK
Wilma Wunder Mainz im Cafe am Ballplatz,"Ballpl. 2, 55116 Mainz, Deutschland",06131 2191949,https://www.wilma-wunder.de/restaurants/mainz-am-ballplatz/,True,92,IE-Kompatibilität,OK
Im Herzen Afrikas,"Gaustraße 38, 55116 Mainz-Altstadt, Deutschland",06131 3808111,https://im-herzen-afrikas.de/,True,88,keine Media Queries,OK
Zenz Wirtshaus,"Bahnhofpl. 4, 55116 Mainz, Deutschland",06131 5543834,https://www.zenz-wirtshaus.de/,True,92,IE-Kompatibilität,OK
𝗡𝗔𝗡𝗔 𝖬𝖺𝗂𝗇𝗓┃𝗠𝗮𝗻𝘁𝗶 & 𝗠𝗼𝗿𝗲,"Nana Mainz, Steingasse 21, 55116 Mainz, Deutschland",,,False,0,keine Website,Keine Website
Restaurant Brauhaus zur Sonne - Mainz,"Sonnengäßchen 2, 55116 Mainz, Deutschland",06131 231610,http://brauhauszursonne.de/,True,20,kein HTTPS; kein Mobile-Viewport; HTML4/XHTML; Frames,Dringend neues Design
Augustinerkeller,"Augustinerstraße 26, 55116 Mainz, Deutschland",06131 222662,https://augustinerkeller-mainz.eatbu.com/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK
Stadtbalkon – Lavagrill & Bar,"Gutenbergpl. 2, 55116 Mainz-Altstadt, Deutschland",06131 6987747,http://www.stadtbalkon-mainz.de/,True,88,keine Media Queries,OK
Zum Goldstein,"Kartäuserstraße 3, 55116 Mainz, Deutschland",06131 236576,http://www.zum-goldstein.de/,True,88,keine Media Queries,OK
UDP Mainz Restaurante,"Mombacher Str. 38b, 55122 Mainz, Deutschland",06131 373214,http://udp-mainz-restaurante.com/,True,68,kein HTTPS; keine Media Queries,Modernisierung empfohlen
Il Mondo GmbH,"Kurmainzstraße 24, 55126 Mainz, Deutschland",06131 604352,http://www.ilmondo-mainz.de/,True,100,keine,OK
L'Osteria Mainz,"Holzhofstraße 7, 55116 Mainz, Deutschland",06131 6937440,https://losteria.net/de/restaurants/restaurant/mainz/,True,76,keine Media Queries; Copyright bis 1998,OK
Steakhaus El Chico,"Kötherhofstraße 1, 55116 Mainz, Deutschland",06131 238440,,False,0,keine Website,Keine Website
Weinhaus & Restaurant Hahnenhof,"Wallaustraße 18, 55118 Mainz, Deutschland",06131 2121150,http://hahnenhof-mainz.de/,True,48,kein Mobile-Viewport; HTML4/XHTML; keine Media Queries,Redesign empfohlen
Bei Bruno / Restaurant / Catering / Eventlocation,"Wilhelm-Maybach-Strasse, Dekan-Laist-Straße 54, 55129 Mainz-Hechtsheim, Deutschland",06131 5842304,http://www.bei-bruno.de/,True,90,feste Pixel-Breite,OK
Steins Traube - Mainz,"Poststraße 4, 55126 Mainz, Deutschland",06131 40249,https://steins-traube.de/,True,55,<font>-Tags; Tabellen-Layout; IE-Kompatibilität; keine Media Queries,Modernisierung empfohlen
Amore Vino Mainz,"Stefanspl. 1, 55116 Mainz, Deutschland",06131 9455117,https://amore-vino.de/,True,78,feste Pixel-Breite; keine Media Queries,OK
Restaurant La Gallerie - Mainz,"Gaustraße 29, 55116 Mainz, Deutschland",06131 6969414,https://lagallerie-mainz.de/,True,100,keine,OK
Cubo Negro,"Karmeliterplatz 4, 55116 Mainz, Deutschland",06131 234361,https://www.cubonegro.de/,True,92,IE-Kompatibilität,OK
goldmarie mainz,"Clarissa-Kupferberg-Platz 9, 55118 Mainz, Deutschland",015678 127702,http://www.goldmariemainz.de/,True,88,keine Media Queries,OK
Aposto Mainz,"Gutenbergpl. 8-10, 55116 Mainz, Deutschland",06131 6931620,https://www.aposto.eu/restaurants/mainz/,True,80,IE-Kompatibilität; keine Media Queries,OK
Restaurant Esszimmer – Gonsberg,"Im Niedergarten 16, 55124 Mainz, Deutschland",,http://www.esszimmer-mainz.de/,True,90,feste Pixel-Breite,OK
august,"Leichhof 14, 55116 Mainz, Deutschland",06131 2495379,http://www.august-mainz.de/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK
Maxim - Restaurant,"Neubrunnenplatz 1a, 55116 Mainz, Deutschland",06131 1439429,https://maxim-mz.de/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK
Zeitlos am Proviant Magazin,"Schillerstraße 11A, 55116 Mainz, Deutschland",0176 37088170,https://zeitlosproviant.de/,True,100,keine,OK
KONA,"Mittlere Bleiche 16, 55116 Mainz, Deutschland",06131 8940875,http://www.kona-mainz.de/,True,92,IE-Kompatibilität,OK
Weinstube „Am Holztor“,"Holzstraße 40, 55116 Mainz, Deutschland",06131 5547700,http://www.amholztor.de/,True,78,<font>-Tags; keine Media Queries,OK
ALEX Mainz,"Gutenbergpl. 14, 55116 Mainz, Deutschland",06131 1447350,http://www.dein-alex.de/mainz,True,68,IE-Kompatibilität; keine Media Queries; Copyright bis 1998,Modernisierung empfohlen
Hofgut Laubenheimer Höhe,"Auf der, Zur Laubenheimer Höhe 1-3, 55130 Mainz, Deutschland",06131 622260,http://www.hofgut-laubenheimer-hoehe.de/,True,88,keine Media Queries,OK
Beim Peter,"Feldbergstraße 2, 55118 Mainz, Deutschland",06131 9507570,https://de-de.facebook.com/MetzgereiBeimPeter,True,100,keine,OK
Hanoi,"Münsterstraße 17-19, 55116 Mainz, Deutschland",06131 6962302,http://hanoi-mainz.de/,True,80,<font>-Tags; feste Pixel-Breite,OK
La Oliva Mainz,"Am Gonsenheimer Spieß 2, 55122 Mainz, Deutschland",06131 384363,https://laoliva.de/laoliva-mainz,True,88,keine Media Queries,OK
butterfly | brunch & bar. coffee & cocktails.,"Große Langgasse 12, 55116 Mainz, Deutschland",0178 3093871,http://butterflybrunchbar.de/,True,90,feste Pixel-Breite,OK
Restaurant Damas Mainz,"Holzstraße 34, 55116 Mainz, Deutschland",06131 224025,https://flanigo.com/restaurant/4588,True,88,keine Media Queries,OK
Zum grünen Kakadu - Staatstheater Mainz,"Gutenbergpl. 3-5, 55116 Mainz, Deutschland",06131 2851281,http://zumgruenenkakadu-mainz.de/,True,100,keine,OK
Prost & Mahlzeit – Mainz,"Schusterstraße 18 - 20, 55116 Mainz, Deutschland",06131 2494031,http://www.prostundmahlzeit-mainz.de/,True,78,feste Pixel-Breite; keine Media Queries,OK
eatDOORI - Indisches Restaurant Mainz,"Augustinerstraße 54-56, 55116 Mainz, Deutschland",06131 2181970,https://eatdoori.com/indisches-restaurant-mainz/,True,100,keine,OK
Misaki - Sushi Grill Bar,"Rheinstraße 4, 55116 Mainz, Deutschland",06131 2117087,http://www.misaki-mainz.de/,True,92,IE-Kompatibilität,OK
Weinstube Hottum,"Grebenstraße 3, 55116 Mainz, Deutschland",06131 223370,https://hottum-mainz.de/,True,88,keine Media Queries,OK
My Restaurant Döner & Grill,"Hopfengarten 21, 55116 Mainz, Deutschland",06131 6063787,,False,0,keine Website,Keine Website
Andechser am Rhein,"Rheinstraße 4G, 55116 Mainz, Deutschland",06131 6366774,https://www.andechser-mainz.de/,True,88,keine Media Queries,OK
pankratz,"Lindenpl. 6, 55129 Mainz-Hechtsheim, Deutschland",06131 957780,https://www.pankratiushof.de/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK
Favorite Restaurant,"Karl-Weiser-Straße 1, 55131 Mainz, Deutschland",06131 8015133,https://favorite-mainz.de/genuss-kulinarik/sternerestaurant/,True,88,keine Media Queries,OK
Hoi An QT - Fine Sushi & Indochine Kitchen,"Rheinstraße 53, 55116 Mainz, Deutschland",06131 6968599,http://hoianqt-mainz.de/,True,92,IE-Kompatibilität,OK
HANS IM GLÜCK - MAINZ Gutenbergplatz,"Gutenbergpl. 6, 55116 Mainz, Deutschland",06131 926604,https://hansimglueck-burgergrill.de/burger-restaurant/mainz-gutenbergplatz/?utm_source=google&utm_medium=yext&utm_campaign=33,True,80,IE-Kompatibilität; Copyright bis 1998,OK
Eisgrub-Bräu,"Weißliliengasse 1A, 55116 Mainz, Deutschland",06131 221104,https://www.eisgrub.de/,True,90,<font>-Tags,OK
